entry_time,exit_time,type,regime,strategy,entry_price,exit_price,size,pnl,close_reason,account_balance
2009-04-06 21:00:00,2009-04-07 03:00:00,SHORT,VOLATILE,Cautious Mean Reversion,875.85,879.98,0.08437303893892546,-0.3484606508177618,Stop Loss,1000.5108365353904
2009-04-07 03:00:00,2009-04-07 10:30:00,SHORT,VOLATILE,Cautious Mean Reversion,879.98,881.2,0.16110837962082444,-0.19655222313741022,Regime Change,1000.314284312253
2009-04-07 11:00:00,2009-04-07 16:30:00,SHORT,VOLATILE,Cautious Mean Reversion,883.55,881.25,0.06987947101490001,0.16072278333426684,Regime Change,1000.4750070955872
2009-04-07 23:30:00,2009-04-08 01:30:00,SHORT,VOLATILE,Cautious Mean Reversion,884.88,888.45,0.1305931020051882,-0.46621737415852843,Stop Loss,1000.0087897214287
2009-04-08 01:30:00,2009-04-08 07:30:00,SHORT,VOLATILE,Cautious Mean Reversion,888.45,883.33,0.12687423835808712,0.6495961003934067,Target Hit,1000.6583858218221
2009-04-08 08:00:00,2009-04-08 09:00:00,LONG,VOLATILE,Cautious Mean Reversion,883.33,887.1,0.11858672960538745,0.4470719706123085,Target Hit,1001.1054577924344
2009-04-08 09:30:00,2009-04-08 11:00:00,LONG,VOLATILE,Cautious Mean Reversion,880.28,886.63,0.08504829163496573,0.5400566518820343,Target Hit,1001.6455144443165
2009-04-08 23:30:00,2009-04-09 02:00:00,SHORT,VOLATILE,Cautious Mean Reversion,884.05,882.45,0.21030821194231175,0.3364931391076797,Target Hit,1001.9820075834242
2009-04-09 04:30:00,2009-04-09 08:00:00,SHORT,VOLATILE,Cautious Mean Reversion,885.93,879.78,0.1744216657224236,1.0726932441929011,Target Hit,1003.0547008276171
2009-04-09 08:30:00,2009-04-09 14:00:00,LONG,VOLATILE,Cautious Mean Reversion,876.68,883.2,0.0848755719870878,0.5533887293558205,Regime Change,1003.6080895569729
2009-04-10 00:30:00,2009-04-10 01:00:00,SHORT,VOLATILE,Cautious Mean Reversion,881.0,882.75,0.3253026185698854,-0.5692795824972995,Stop Loss,1003.0388099744756
2009-04-10 01:00:00,2009-04-10 02:00:00,SHORT,VOLATILE,Cautious Mean Reversion,882.75,878.45,0.2753390603858043,1.183957959658946,Target Hit,1004.2227679341346
2009-04-10 02:30:00,2009-04-10 12:00:00,SHORT,VOLATILE,Cautious Mean Reversion,884.55,881.25,0.12447704913284813,0.4107742621383932,Regime Change,1004.633542196273
2009-04-10 12:00:00,2009-04-12 18:00:00,LONG,RANGING,Mean Reversion,881.25,885.05,0.12763678218555302,0.4850197723050957,Target Hit,1005.1185619685781
2009-04-12 18:00:00,2009-04-12 22:00:00,SHORT,VOLATILE,Cautious Mean Reversion,885.05,887.1,0.3409119687374245,-0.6988695359117435,Stop Loss,1004.4196924326664
